TDID,Run,TestCaseID,DefectID,APPLICATIONNAME,PAGETITLE,MENU,SUBMENU,EXTERNALAPPLICATIONMENU,EXTERNALAPPLICATIONSUBMENU,STORENUMBER
59,YES,Store Search in Incidents,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame Transfer History,Property,Incidents,5101
60,YES,Store Search in Telephone Inventory,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame Transfer History,Property,Telephone Inventory,5101
61,YES,Store Search in Monthly Entry,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame Transfer History,Military,Monthly Entry,5101
62,YES,Store Search in Daily Entry,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame Transfer History,Military,Daily Entry,5101
63,YES,Store Search in 1099 Doctor Entry,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame Transfer History,Store,1099 Doctor Entry,5101
64,YES,Store Search in PCI Audit History,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame Transfer History,Store,PCI Audit History,5101
65,YES,Store Search in Planograms,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame Transfer History,Store,Planograms,5101
66,YES,Store Search in Frame_Tag Requests,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame Transfer History,Store,Frame/Tag Requests,5101
67,YES,Store Search in Store Directory (for stores),,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame Transfer History,Store,Store Directory (for stores),5101
68,YES,Store Search in SDS Store Export,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame Transfer History,Store,SDS Store Export,5101
69,YES,Store Search in Location Info for DM,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame Transfer History,Store,Location Info for DM,5101
70,YES,Store Search in Location Info,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame Transfer History,Store,Location Info,5101
71,YES,Store Search in Locator (W2GI),,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame Transfer History,Store,Locator (W2GI),5101
72,YES,Store Search in Alignment By Store,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame Transfer History,Store,Alignment By Store,5101
73,YES,Store Search in Store POS,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame Transfer History,Store,Store POS,5101
74,YES,Store Search in Store LAN,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame Transfer History,Store,Store LAN,5101
75,YES,Store Search in Relocation History,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame Transfer History,Store,Relocation History,5101
76,YES,Store Search in Relocation,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame Transfer History,Store,Relocation,5101
77,YES,Store Search in Remodel,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame Transfer History,Store,Remodel,5101
78,YES,Store Search in Closing,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame Transfer History,Store,Closing,5101
79,YES,Store Search in Schedule,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame Transfer History,Store,Schedule,5101
80,YES,Store Search in Audit,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame Transfer History,Store,Audit,5101
81,YES,Store Search in Companies,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame Transfer History,Org Units,Companies,5101
82,YES,Store Search in Stores,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame Transfer History,Org Units,Stores,5101
83,YES,Store Search in NPS Rolling Periods,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame Transfers Received,Report Card,NPS Rolling Periods,5101
84,YES,Store Search in Marketing Initiatives,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame Transfers Received,Other,Marketing Initiatives,5101
